Which is the largest of the Canary Islands? ;Tenerife 
What Did You Associate With Rod Hull ? ;Emu 
Which British comedian became well known for his broken microphone routine? ;Norman Collier 
Whose son got lost in the desert during the Paris Daker rally ? ;Mrs Thathchers Son Mark 
Which FootbaIl Bad Boy Was Accused Of Violent Assault Against Tv Presenter Ulrika Jonsson ;Stan Collymore 
Who Was The First man To Set Foot On The Moon ? ;Neil Armstrong 
What is the singer Meat Loafs Real Name ;Marvin Lee Aday 
Who Sued For Libel After Being Described As Boring ;William Roache (Ken Barlow) 
Whose Daughter Married Thin Lizzys Phil Lynott ;Leslie Crowther 
Whom Did Neil Kinnock Succeed As Leader Of The Labour Party? ;Michael Foot 
Who Was Humphrey Bogarts 4th Wife ? ;Lauren Bacall 
What Surrey town is famed for its salts?;Epsom
How Did Dmaon Hill's Father Graham Die ? ;In A Plane Crash 
Which Celebrity Launched A Perfume Range Entitled 'M' Just In Time For Christmas 2007 ;Mariah Carey 
Which Politician Punched A Protestor Who Threw An Egg At Him During A Visit To Wales In 1991 ;John Prescott 
Which Actress Was Sued For Not Acting In Boxing Helena ;Kim Bassinger 
Which Famous Tv Presenters Are Former MP's ;Brian Walden, Robert Kilroy Silk 
Which Liberal Leader Was Aquitted Of Attempted Murder ;Jeremy Thorpe 
Which European City Is Famous For Its Latin Quarter ;Paris 
What Is Princess Diana's Madien Name ? ;Spencer 
In Which Country Was Paper Magnate Robert Maxwell Born ? ;Czechoslovakia 
Jane Caine Has A Claim To Fame As The First Person To Do What ;Speaking Clock Voice 
Who was The Second Man To Set Foot On The Moon ;Buzz Aldrin 
Which Footballer Drop Kicked A Fan At Crystal Palace ;Eric Cantona 
Which Politician was Nick Named Bambi ;Tony Blaire 
Which James Bond Actor Once Worked As A Coffin Polisher ;Sean Connery 
Dame Shirley Porter Is Heiress To Which Super Market Chain ;Tesco 
Who Is Stevland Morris Hardaway Better Known As ;Stevie Wonder 
Which singer wrote the autobiography 'Take It Like A Man''? ;Boy George 
What were the surnames of Bonnie & Clyde ;Clyde Barrow & Bonnie Parker 
Which Famous Artist Painted The Most Paintings ;Piccaso 
Who Bought The Ritz Hotel In Paris In 1979 ;Mohammed Al Fayed 
Who won a place in the Guinness Book of Records for writing 26 books in 1983? ;Barbara Cartland 
What Letter Do Most British Names Begin With ;B 
Who Would You Associate With Lou Costello ;Bud Abbott 
Formerly known as East Pakistan what is this country now called ;Bangladesh 
What Radio Program Did Roy Plomley Dream Up ;Desert Island Discs 
Who Was William Bonney Better Known As ;Billy The Kid 
Where is the comemoration statue of fictional character Sherlock holems?;Baker Street, london
Who Batted With An Aluminium Bat ;Dennis Lillee 
Complete This partnership Hinge and ? ;Bracket 
What is the county town of Cornwall? ;Truro 
Who Is Julie Andrews Married To ? ;Blake Edwards 
For what are Allen and Wright most famous?;Root beer
Who Was Assassinated By Two Sikh Bodyguards ;Indiri Gandhi 
Who Said 'I Hope Harry Secombe Goes Before Me, I Don't Want Him Singing At My Funeral'? ;Spike Milligan 
