What is the main ingredient in the soup Borscht?;Beetroot
What nut is used to make marzipan?;Almond
The eggs of this sturgeon are the preferred form of caviar.;Beluga
What colour is chablis? ;White 
Where is the oldest distillery in the world? ;The Old Bushmills, Cty Antrim 
Singapore banned which popular western foodstuff because of litter implicatons? ;Chewing Guim 
Who released the following album 'Strange brew ' ;Cream 
Who In The World Of Music Has The Real Name Of Derek Dick ;Fish 
What do you get when you add fresh fruit to red wine ;Sangria 
Which type of restaurant popularized the use of conveyor belts? ;Sushi Restaurants 
Who released the following 'edible' album 'Pretzel logic' ;Steely Dan 
Italian dish consiting of olives, anchovies, salami, celery, and appetizers.;Antipasto
Food That Is Permitted To Be Eaten Under Jewish Dietary Laws Is Known As What ;Kosher 
Which contains more caffeine - coffee beans or tea leaves? ;Tea Leaves 
What drink is a mixture of brandy, egg yolks & vanilla? ;Advocaat 
How Are The TV Chefs 'Simon King & David Myers'' More Commonly Known ;The Hairy Bikers 
Creme de Cacao, cream, and brandy make up which type of cocktail ;Brandy Alexander 
What Dessert Consists Of Ice Cream Covered In Meringue And Baked In The Oven ;Baked Alaska 
What 'R'' Is The Name Given To A Picked Herring ;Rolemop 
What is the most common pub name in Great Britain? ;The Red Lion 
This drink is made from espresso coffee, steamed milk and chocolate.;Mocha
Which Type Of Prepared Bread Is Named After An Opera Singer? ;Melba Toast 
What can you do after eating a garlic doused Indian meal in order to prevent your breath smelling of garlic the day after? ;Drink a Lassie (yoghurt drink) to coat your throat 
In 1999, which American retail giant announced that it was buying the Asda food retail chain? ;Wal-Mart 
What is the minimum age for scotch whisky before it can be sold in the uk? ;3 Years 
Which Ancient Central American Civilisation Were Drinking Chocolate Milk As Long Ago As 600 BC ;Mayans 
Bourbon, sugar and mint make up which type of Cocktail ;Mint Julep 
In which dishes is sticky rice used? ;Sushi 
Where was Budweiser first brewed?;St. Louis
What European Country Is The consumer Of The Most Ice Cream ;Sweden 
Sweetbread is derived from this organ.;Pancreas
Which Food Stuff Has A Name Which Translates Into English As 'On A Skewer'? ;Kebab 
Which vegetable is the principal ingredient of rosti? ;Potato 
In Which Country Was Gin Invented ;Holland 
Which fruit is used to make Calvados? ;Apples 
Creme de Menthe and brandy make which cocktail? ;A Stinger 
After Who Was The Sandwich Named ;The Earl Of Sandwich 
In Italy, if you were served pesce martello, what would you be about to eat? ;Shark 
What Is A Ramekin ;A Small Casserole Dish 
The Name Of Which Chinese Dish Means 'Odds & Ends' ;Chop Suey 
What was the first name of Senor Cardini, the Mexican restaurateur who created a classic salad in 1924? ;Caesar 
 What colour is creme de menthe?;Green
What Are Scallions ;Spring Onions Or Shallots 
Who released the following 'edible' album 'Burnt weeny sandwich' ;Frank Zappa 
With what is champagne mixed to produce `Buck's Fizz'? ;Orange Juice 
What soft drink is advertised with the slogan, What's the worst that could happen? ;Dr Pepper 
What do Americans call what the British call an iced-lolly? ;Popsicle 
What Type Of Foodstuff Is Traditionally Eaten On Shrove Tuesday ;Pancakes 
The Process Where Food Browns During Cooking Is Known As The What ;Maillard Reaction 
What Is The Principle Ingredient Of The Indian Dish Biryani ;Rice 
Booze Name: Vodka, consomme, lemon, tabasco sauce, salt, pepper, celery salt.;Bullshot
Laetrile is associated with the pit of which fruit ;Apricot 
How would you say 'house wine' in 'French' ;Vin (de la) maison 
What Is Albumen The Correct Term For ;Egg White 
What did Martin Stone invent in 1888 that millions of suckers use every day? ;The Drinking Straw 
Rioja Wine Comes From Which Country ;Spain 
What would you buy from a Bodega? ;Wine 
