"Who said ""All life begins and ends with Nu___at least this is my belief for now___""?                                                 ";Nu
In the 'Extreme Battle' mini-game in 'Resident Evil 2', what characters are selectable?                                              ;Claire, Leon, Ada, and Chris
Which body part is found in Bodley Mansion in 'Castlevania II: Simon's Quest'?                                                       ;An eye
In the game Joust, what animal was your mount?                                                                                       ;An Ostritch
What video game starts out with Koma Pigs stealing your treasured bracelet?                                                          ;Tomba!
How many buttons (excluding the control pad) did the original NES controller have?                                                   ;4
Who created the music for N2O: Nitrous Oxide?                                                                                        ;The Crystal Method
Who is the famed musical director for Square's Final Fantasy series?                                                                 ;Nobuo Uematsu
What is the development team at Nintendo headed by Shigeru Miyamotocalled?                                                           ;EAD
Which was the first manned aircraft to exceed the speed of sound ?;Bell X-1
The Sega Genesis game about two lost aliens looking for their spaceship was called what?                                             ;ToeJam and Earl
Who is the main character from Nintendo's 'Earthbound'?                                                                              ;Ness
In which Mega Man game did Mega Man first gain the ability to charge up his shots?                                                   ;Mega Man 4
What does the 'x' mean when referring to the speed of a CD-rom (eg. 32x)?;Times (faster than standard speed)
In the Sonic the Hedgehog series, what serves as your energy?                                                                        ;Rings
Who is the boss of the SNES game, 'Ranma 1/2: SUPER Hard Battle'?                                                                    ;Herb
What does LED stand for?;Light Emitting Diode
On what non-Nintendo console can you find Zelda games?                                                                               ;Philips CD-I
What is IRC an acronym for?;Internet relay chat
What is the reason behind the layout of the Qwerty keyboard ?;To slow down typing rates
What is Mario's profession?                                                                                                          ;Plumber
Who is Mega Man's creator?                                                                                                           ;Dr. Light
What entertainment product did Nintendo make before entering the video game business?                                                ;Playing cards
Which character was introduced in 'Super Street Fighter II'?                                                                         ;Cammy
What is the name of the cloud-riding, glasses-wearing koopa in the Super Mario Bros. series?                                         ;Lakitu
Who has the world's largest double-decker tram fleet?;Hong Kong
What was the name of the first plane ever to fly ?;Flyer
Linux is a clone of what operating system?;UNIX
Who programmed Roller Coaster Tycoon?                                                                                                ;Chris Sawyer
What is the signature move of the Bombs in the Final Fantasyseries?                                                                  ;Exploder
What does 'IBM' stand for?;International Business Machines
"What is a ""koopa?""                                                                                                                   ";A turtle
What is the most powerful whip in 'Castlevania 2'?                                                                                   ;Flame Whip
Which legendary games designer/producer created the Super Mario Brothers franchise for Nintendo?;Shigeru Miyamoto
What does CR-ROM stand for?;Compact Disk Read Only Memory
How many fighters are playable in 'Street Fighter II'?                                                                               ;8
How many bits are in a nibble ?;4
Who is the Linux operating system named after ?;Linus Torvalds
Who was the main character in the original 'Street Fighter'?                                                                         ;Ryu
What did the letters in ROB (the old NES peripheral) stand for?                                                                      ;Robotic Operating Buddy
"In the original Contra, what gun would ""S"" get you?                                                                                  ";Spread Gun
Samus Aran is the femme-fatale of which series of games?                                                                             ;Metroid
Which brothers built a home-made supercomputer to calculate the digits of Pi ?;Chudnovsky
Name the final boss from each Final Fantasy game (1-8, in that order).                                                               ;Chaos, Emperor from Hell, Dark Cloud, Zeromus, Deathgyunos, Kefka, Sephiroth, and Ultimecia
When was the first 'Final Fantasy' created?                                                                                          ;1987
Circuits can be wired in parallel or ______?;Series
What was the first version of Microsoft Windows?;Windows 286
Which company made the original 'Donkey Kong'?                                                                                       ;Nintendo
Who is the first gym leader you fight in 'Pokémon' for the Game Boy?                                                                 ;Brock
What was the Earth's first artificial satellite ?;Sputnik 1
What do you need to collect 100 of to get an extra life in Super Mario Bros.?                                                        ;Coins
What was the first home console system released by Sega?                                                                             ;Sega Master System
What member of the original StarFox team betrays the group to join StarWolf?                                                         ;Pigma Dengar
Who invented Tetris?                                                                                                                 ;Alexey Pazhitnov
What alternate dimension does Link find himself in in Majora's Mask?                                                                 ;Termina
What colour is the 'Black box' on commercial planes?;Orange
What was the Jaguar Car called before 1945?;SS
What is your character's name in the 'Legend of Zelda' series?                                                                       ;Link
"In the game ""Chrono Trigger,"" what is Lucca's mother's name?                                                                         ";Lara
Name all of the main characters from each Final Fantasy game, in order (Final Fantasy 2 and 4-10 only).                              ;Frionel,Cecil,Butz,Terra,Cloud,Squall,Zidane,and Tidus
What was Fortran designed for ?;Formula Translation
What was invented over 3000 years ago that is now considered the first 'computer'?;Abacus
What arcade game did Shigeru Miyamoto design Donkey Kong as a replacement for?                                                       ;Radarscope
In the original All-C Saga game, who kills Mandy and Matthew?                                                                        ;Simetra
What was the first game created by Rare?                                                                                             ;Slalom
What is Ozzie's hyper sister's name in the original 'All-C Saga' game?                                                               ;Treli
Who is the developer at Nintendo responsible for classics like Donkey Kong, Super Mario Bros., and The Legend of Zelda?              ;Shigeru Miyamoto
secret of Evermore' was entirely produced in which country?                                                                         ;U.S.A.
What happened to the innocent residents of the Mushroom Kingdom when Bowser Koopa took over?                                         ;They became bricks and powerup blocks
"Who wrote the song, ""Pac-Man Fever?""                                                                                                 ";Buckner and Garcia
How many gears do you have in 'Pole Position'?                                                                                       ;2
What is the name of the video game inspired by the movie Alien?                                                                      ;Xenophobe
What special track is unlocked in 'Excite Bike 64' if you finish the tutorial?                                                       ;Classic NES Excite Bike
Who is the third opponent in 'Super Smash Brothers'?                                                                                 ;Fox McCloud
The Hylians come from what game series?                                                                                              ;The Legend of Zelda
The Minus World of Super Mario Bros. is a never-ending version of what stage?                                                        ;02. Feb
Who invented the Telephone ?;Alexander Graham Bell
In 'Adventure', which castle had a dark maze in it when you played on any but the easiest difficult level?                           ;The Black Castle
What does the acronym COBOL stand for?;Common Business Oriented Language
What was the first cartridge that had a battery backed save feature?                                                                 ;The Legend of Zelda
Who was the founder of Lotus Cars Ltd.?;Colin Chapman
"What does the acronym ""NES"" stand for?                                                                                               ";Nintendo Entertainment System
Mega Man's traditional nemesis in the Mega Man series is whom?                                                                       ;Dr. Wily
Who is Mega Man's sister?                                                                                                            ;Roll
Who invented the Hovercraft ?;Sir Christopher Cockerell
What was the first lighthouse ?;Pharos of Alexandria
What object did you need to get to the secret room in Atari's 'Adventure'?                                                           ;The dot
What is the name of the Star Fox Team's cocky wingman?                                                                               ;Falco Lombardi
Manjimaru is the main character of which game?                                                                                       ;Kabuki Klash
Nolan Bushnell, creator of the first arcade game, also founded the video arcade chain now known as what?                             ;Chuck E. Cheese's
What fuzzy animal does Croc rescue?                                                                                                  ;The Gobbos
"Who pilots the Gundam ""Epyon"" in the game 'Gundam Wing: Endless Duel'?                                                               ";Miliardo Peacecraft
What does FTP stand for?;File Transfer Protocol
In Adventure, which castles require the bridge to explore fully?                                                                     ;Black and White Castles
What game takes place on the fantastic island of Koholint?                                                                           ;Link's Awakening
What are names of the two brothers in the Double Dragon games?                                                                       ;Billy and Jimmy
"What number is the Pokémon ""Scyther"" in the Pokémon GameBoy games?                                                                   ";123
"Which RPG series features a line of inventors of the name ""Shaia?""                                                                   ";Lufia
