Who Originated The Uncertainty Principle ;Heisenberg 
Sound Navigation Ranging is better known as _________.;Sonar
What Is The Function Of The Thyroid Gland ;To Regulate Growth & The Metabolism 
What Did Jesse Reno Invent Using Traditional Conveyor Belt Principles To Pull Folding Steps Up A Slope ;The Escalator 
What Do You Get If A Male Donkey Breeds With A Horse? ;A Mule 
In Wonderland, Who Took A Watch Out Of His Waistcoat Pocket Only To Discover That He Was Late ;The White Rabbit 
The valuable blue form of corundum is called:;Sapphire
 It takes approximately 69,000 venom extractions from the __________;To fill a 1_pint container. coral snake
What Describes A Person With No Skin Pigment ;An Albino 
 The female American Oyster lays an average of 500 million eggs per year. Usually only one oyster out of the bunch reaches __________;Maturity
A one-humped camel is called a _________.;Dromedary
Graphite dust is formed when what is cut with a laser?;Diamond
 The most carnivorous of all bears is the __________. Its diet consists almost entirely of seals and fish.;Polar bear
What Is The Study Of Low Temperatures Called ;Cryogenics 
What is the symbol for iron in chemistry?;Fe
 Despite man's fear and hatred of the wolf, it has not ever been proved that a non_rabid wolf ever attacked a __________;Human
What does LPG stands for?;Liquid Petroleum Gas
A Phon is a unit of what? ;Loudness 
What word is used for a male ass? (Other than that the word used for that #*§^*&%@! ex-boyfriend.);Jack
When does the human uterus expand 500 times its normal size?;During pregnancy
What Do The Initials E.E.G Stand For ;Electroencephalograph 
"What does the ""lithosphere"" refer to?";The earth's crust
Name Tin Tin's Canine Companion ;Snowy 
What is an emasculated stallion called?;Gelding
Infantile Paralysis is commonly known as ________.;Polio
What is another name for the prairie wolf?;Coyote
What name is given to animals which eat both plants and meat ?;Omnivore
Which Continent Is The Natural Habitat Of The Ostrich ;Africa 
What Animal Can Change Its Colour? ;A Chameleon 
 A wolf's odor detecting ability is __________ times greater than man's.;100
What two colors is a magpie ;Black and white 
 When young, the hoatzin, a crested, olive_colored South American bird, has claws on its __________;Wings
Which two metals make up brass? ;Copper and Zinc 
What Is Another Name For The Wildebeest? ;A Gnu 
This protein makes the blood red in color.;Hemoglobin
 From crocodile farms, Australia exports about 5,000 crocodile skins a year. Most go to Paris, where a crocodile purse can sell for more than __________;10000
What links flamsteed halley, bradley and bliss ;Astronomy 
How many tentacles does a squid have;Ten
The Sun is how much more dense than water?;1.41 times
