In 1951 Howard Hawks Produced The Thing. Who Directed The 1982 remake, Starring Kurt Russell ;John Carpenter 
What amendment to the u.s. constitution ended prohibition ;The twenty first 
Where Did Napoleon Bonaparte Die In Exile? ;St Helena 
What country did poinsettias originally come from? (Mexico,Us, Spain ,Brazil) ;Mexico 
Who Became premier of Cuba in 1959. ;Fidel Castro 
According to the song what did my true love give to me on the fifth day of Christmas ;Five Gold Rings 
What asian leader was known as the little brown saint ;Mahatma gandhi 
Who was the ruler of the USSR from 1917-22? ;Vladimir Lenin 
The land that would eventually be known as oklahoma was part of the what in 1803 ;Louisiana purchase. 
William the First was crowned on Christmas day, but in what year ;1066 
In The Film 'Halloween' For How Many Years Was The Killer Locked Up In An Asylum Before He Escaped ;15 Years 
In 'Bridget Jones Diary'', Bridget Jones makes a New Years Resolution, to sort out her life, meet a man and keep a diary, but who played Bridget Jones ;Renée Zellweger 
"""What Did My True Love Give To Me On The """"Nineth"""" Day Of Christmas"" ";9 Ladies Dancing 
In Which Modern Day Country Would You Find The Region Known As Transylvania ;Romania 
In 1959, Berry Gordy Jr. started a small record company called ;Motown 
Which great American inventor died in October 1931? ;Thomas Edison 
Which Olympics did the US boycott? ;1980 
What English city was known to the Romans as Venta Bulgarum?;Winchester
What was the leading cause of death in the late 19th century?;Tuberculosis
Where In Egypt Is The Tomb Of Tutankhamen ;Valley Of The Kings, Luxor 
*What were the 'character' names of the 3 lead women of Charlie's Angels? (PFE)* ;Sabrina, Kelly, Jill 
In What Year Did The Vietnam War Begin ;1954 
Who Wtote The Book 'How The Grinch Stole Christmas' ;Dr Seuss 
Who had a hit with the smooth and soulful You To Me Are Everything ? ;The Real Thing 
The Gold Coast gained its independence from Great Britain in 1957 and renamed itself as what ;Ghana 
Which Football Team Became The First To Win The European Cup Winners Cup In 1963 ;Tottenham (Spurs) 
How do you write 69 in Roman numerals?;LXIX
In which country was the Rosetta Stone found;Egypt
What Was The Contribution Of Actress Mercedes McCambridge To Linda Blairs Performance In The Excorcist ;Provided The Devils Voice 
What's the oldest college in the u.s. ;Harvard 
Where in the UK would you go to celebrate 'Uphelia'' shortly after Christmas ;Shetland Isles 
"""What Is The Name Of The Toy That Arnold Schwarzenegger Desperately Tries To Get For His Son For Christmas In the Film """"Jingle All The Way""""?"" ";Turbo Man 
On what date did America become an independant nation?;July 4th, 1776
Alphabetically Which Is The Last Of Santa's Reindeers? ;Vixen 
Dr. Christian Barnard performed the world's first ever what in South Africa in 1967. ;Heart Transplant 
Godzilla first made his mark so to say in 1954. What do the Japanese call Godzilla ? ;Gojira 
What Connects Kenny, Everett, Annie Lennox, And Sir Isaac Newton ;Born On Xmas Day 
The second line of which carol is '… When they are both full grown'' ;The Holly & The Ivy 
What notorious event occurred on the 24th October 1929? ;The Wall Street Crash or (Black Thursday) 
Whose epitaph reads, free at last, free at last, thank god almighty, i'm free at last ;Martin luther king jr. 
In What Year Was Band Aids 'Do They Know Its Christmas' The UK Christmas No.1 Single ;1984 
Who was UK Labour cabinet minister and social reformer Frank Pakenham better known as? ;Lord Longford (7th Earl of Longford) 
Who was known as 'the peanut president'?;Jimmy Carter
What toy was released in 1957 creating an instant craze among children? ;The Hula Hoop 
In What Year Was The Chinese Republic Established ;1911 
Who Was Declared Dead On New Years Day 1953 At The Age Of 29? ;Hank Williams 
In which country do they pound rice into a glutinous form using a huge hammer? ;Japan 
Of which Cambodian party was Pol Pot the leader?;Khmer Rouge
Which Revolutionary Icon Was Killed On 9th October 1967 ;Che Guevara 
Which Actor Of The Silent Era Was Known As 'The Man Of A Thousand Faces' ;Lon Chaney 
What Was The Name Of The Son Of Cleopatra & Julius Caesar ;Caesarion 
Which TV Character Owns A Talking Cat Called Salem ;Sabrina Teenage Witch 
Which member of the Beatles got his first drum kit on Christmas Day 1957 ;Ringo Starr 
Which U.S. President was the first to have a Christmas tree in the White House? ;Franklin Pierce (1853-1857) 
Name The 8 Reindeer From 'The Night Before Christmas' Poem ;Blitzen, Comet, Cupid, Dancer, Dasher, Donner, Prancer, Vixen 
Who assassinated John Lennon?;Mark David Chapman
How Long Was The Hundred Years War? ;116 Years 
"""What Was The Name Of The Character That Henry Travers Plays In The Movie """"It's A Wonderful Life"""""" ";Clarence Oddbody 
Who Played The Title Role In The 1960 Hammer Production The Curse Of The Werewolf ;Oliver Reed 
Who Is The Youngest Member Of The Rolling Stones ;Keith Richards 
What region is the world's largest exporter of Christmas trees? ;Nova Scotia 
Formed in 1955, with which island was the organisation known by the acronym EOKA associated? ;Cyprus 
Which Famous Artist Was Shot And Wounded By Valeria Solanis In 1968 ;Andy Warhol 
Which French Ruler Was Finally Defeated In 1815 ;Napoleon 
Who Released The 70's Album Entitled Trans-Europe Express ;Kraftwerk 
How Many Gold Rings In Total Did My True Love Give To Me (Think About It) ;40 (5x8=40) 
Who was the first person to break the sound barrier?;Chuck Yeager
When the choctaw indians were moved to oklahoma,they brought their crack police force with them. what were they called ;Lighthorsemen 
When was the Greek alphabet first used?;800 BC
Released in 1978 what were the names of the two gangs which John Travolta and Olivia Newton John belonged to in the movie `Grease'? ;The T-Birds and The Pink Ladies 
How Does Good King Wencelesas Like To Eat His Pizza ;Deep Pan Crisp And Even 
Who Released The 70's Album Entitled John Barleycorn Must Die ;Traffic 
Which singer sang 'I Believe In Father Christmas'' ;I Believe In Father Christmas 
Ghost Town' was the only number single released by which British band ;Specials 
Which British alternative band takes its name from a character in the film To Kill a Mockingbird ? ;The Boo Radleys 
This French peasant girl led the army to victories.;Joan of Arc
Christmas Island Is A Territory Belonging To Which Country ;Australia 
Who released an album called 'Ghost in the Machine' ;The Police 
In 1953 Science fiction author L.Ron Hubbard founded which cult religion, one of who's prominent modern day followers is John Travolta ;Scientology 
*The war in Vietnam ended with the fall of Saigon in what year?* ;1975 
*What movie earned Steven Spielberg his first hit in 1975?* ;Close Encounters 
Where did Churchill, Roosevelt and Stalin meet in 1945?;Yalta
"""How Many gifts Would you receive if you received all the gifts in the song """"The 12 Days Of Christmas"""") Is It 196, 296, 364, 398 "" ";364 
After who was America named?;Amerigo Vespucci
What's the claim to fame of abraham zapruder ;He filmed john f. kennedy's assassination 
In which hospital would you find Sir Lancelot Spratt? ;St Swithens 
Who In 1963 , Became The First Film Star To Earn A Million Dollars For A Single Film ;Elizabeth Taylor In Cleopatra 
Talking of Holland, traditionally Santa doesn't actually deliver the presents who does, is it, Rudolph, Santa's servant Black Peter, A goat named Ukko or Thirteen Elves ;His servant Black Peter 
What was the initial capital of USSR?;Leningrad
Which country was the first to allow women to vote in 1893? ;New Zealand 
*What was the name of the scandal that forced President Nixon to resign?* ;Watergate 
Which TV show portrayed the lives of performing arts high school students ;Fame 
In which war was Bunker Hill a major battle? ;The American War Of Independence 
In which European country did the use of Christmas trees originate ;Germany (5th Century) 
Who Was Ptolemy Dionysius Related To As Both Brother And Husband ;Cleopatra 
Who was the first female American astronaut ?;Sally Ride
When And Over What Was The First British Referendum Held? ;1975, Membership Of The EEC 
What planet was 'ALF' from? ;Melmac 
According to the Bible who is Jesus's father ;God 
The Christmas Tree Displayed In Londons Trafalgar Square Is Traditionally Donated By Which Country ;Norway 
Britain's first stretch of motorway was opened in 1958 to bypass which northern town (now a city) ;Preston 
For what is the eighteenth and nineteenth century sailor Sir Francis Beaufort best remembered? ;His System Of Wind Force Indicators 
Who imported the first Go set into Britain ?;Marco Polo
Near what falls did Jimmy Angel crash his plane in 1937?;Angel Falls
What name was given to the Allied invasion of North Africa in 1942? ;Operation Torch 
What was the name of the character on the 1st Garbage Pail Kids Pack? ;Blasted Billy or Adam Bomb 
Which 1976 Film Is About A Persecuted Schoolgirl With Psychokinetic Powers ;Carrie 
Which witch did Ozzy Osborne sing about in 1980 ;Aleister Crowley 
After Henry VIII, Who Was The Next Member Of British Royalty To Get Divorced? ;Princess Margaret 
What band got their name from the sixties movie Barbarella? ;Duran Duran 
At which battle did Nelson famously (turn a blind eye) to orders to disengage? ;The Battle of Copenhagen 
In The Ukraine what does it mean if find a spiders web In your house Christmas morning is it, good luck , bad luck, winter will be unusually cold ;Good Luck 
Who Invented The Christmas Cracker ;Thomas Smith 
What was the first product to have a barcode?;Wrigley's gum
In what year was Band-Aid's Do They Know It's Christmas the UK Christmas chart-topping record? ;1984 
"He was the captain of the ""Mayflower"".";Standish
In What Century was St Nicholas first Mentioned ;4th 
Who played the Spirit of Christmas in the 1988 TV film 'Blackadder's Christmas Carol'' ;Robbie Coltrane 
Cleopatra's slaves often died because she tested this on them;Poison
Which country did Idi Amin invade in 1978? ;Tanzania 
What Are The first Names Of The Everly Bros ;Don & Phil 
Who sang the theme song to the 'Breakfast Club'? ;Simple Minds 
Where were Anne Boleyn and Catherine Howard both executed? ;The Tower Of London 
Near which Belarus City did the biggest ever tank battle take place during WWII?;Kursk
Is kissing under the Mistletoe, a Roman, Druid, or Celtic custom ;Druid 
"""Hot cockles"""" was popular at Christmas in medieval times What was it? """"A Drinking Song"""" """"A Medievil Game"""" """"A Dish Of Seafood"""" """"A Hot Spice Drink"""" "" ";A Tudor Game 
What Was A Sopwith Camel? ;A Single Seater Armed Biplane Used In WWI 
Which bank holiday was first celebrated in Britain in 1978? ;1st May 
The Colosseum received its name not for its size, but for a colossal statue of who that stood close by?;Nero
What was the capital of East Germany?;East Berlin
In the fairy tale 'Cinderella'', which slipper did she lose, the left or the right ;Left 
Who Released The 70's Album Entitled Gasoline Alley ;Rod Stewart 
Which Card Appeared In The UK For The Very First Time In 1963 ;American Express 
