What is the capital of Philippines ?;Manila
What is the highest mountain in the Appalachian range?;Mt. Mitchell
What is the capital of North Carolina?;Raleigh
What is the capital of Liberia ?;Monrovia
What is the only country in the world whose name starts with 'O'?;Oman
Which Central American country extends furthest north?;Belize
What country is directly north of the continental United States?;Canada
What is the largest island in the Indian Ocean?;Madagascar
What country borders Libya on the East?;Egypt
Into which bay does the Golden Gate Strait lead?;San Francisco Bay
Which city is known as Motown?;Detroit
What is the basic unit of currency for Uzbekistan ?;Sum
Name the capital of Brazil.;Brasilia
What is the basic unit of currency for Solomon Islands ?;Dollar
Libreville is the capital of ______?;Gabon
What is the basic unit of currency for Kiribati ?;Dollar
Tirana is the capital of ______?;Albania
Budapest is the capital of ______?;Hungary
What is the capital of Gambia ?;Banjul
Into what sea does the Elbe River flow?;North Sea
What country borders Egypt to the South?;Sudan
What is the capital of Kansas?;Topeka
Which mainland Latin American country is in neither South America nor Central America?;Mexico
What is the basic unit of currency for Morocco ?;Dirham
What is the basic unit of currency for Switzerland ?;Franc
What is the capital of Luxembourg?;Luxembourg
What is the basic unit of currency for Cameroon ?;Franc
Where is the Machu Picchu?;Peru
Which is the most remote island in the southern atlantic ocean?;Bouvet Island
In which continent would you find the Amur river ?;Asia
Which element makes up 3.63% of the Earth's crust ?;Calcium
What is the capital of Algeria ?;Algiers
In what mountain range is Kicking Horse Pass?;Rocky
What is the principal river of Ireland?;Shannon
What is the basic unit of currency for Qatar ?;Riyal
What country has a birth rate of 0?;The Vatican City
What is the basic unit of currency for Nauru ?;Dollar
What is the basic unit of currency for Sudan ?;Dinar
What is the capital of Tunisia ?;Tunis
Which is the Earth's second smallest continent ?;Europe
Which country has Budapest as its capital?;Hungary
What is the capital of Moldova?;Kishinev
Which is the only musical bird that can fly backwards?;Hummingbird
To what country does the Gaza Strip belong?;Egypt
What is the basic unit of currency for Brunei ?;Dollar
What is the basic unit of currency for Afghanistan ?;Afghani
What is the capital of Bhutan ?;Thimphu
What is the basic unit of currency for Panama ?;Balboa
Where is the world's largest desert?;North Africa
Djibouti is the capital of ______?;Djibouti
Where is Gorky Park?;Moscow
This Moslem republic in asia was formerly part of India.;Pakistan
What is the capital of Lesotho ?;Maseru
On the London Underground, which station has a different name on two of its platforms?;Bank and Monument
What is the basic unit of currency for Sri Lanka ?;Rupee
Nashville is the capital of ______?;Tennessee
What is the basic unit of currency for Nepal ?;Rupee
What is the capital of Moldova ?;Chisinau
Which is the Earth's smallest continent ?;Australia
Which city has the largest rodeo in the world?;Calgary
How many stars are on the flag of New Zealand?;Four
What is the capital of Oman ?;Muscat
What is the capital of Uzbekistan ?;Tashkent
What is the capital of Belarus ?;Minsk
What 'I' was once Mesopotamia?;Iraq
What is a peanut if it is not a pea or a nut?;Legume
Which large city is on the Southeastern coast of Australia?;Sydney
What is the basic unit of currency for Guinea ?;Franc
Name the largest river forming part of the U.S. - Mexican border.;Rio Grande
What is the capital of Wales?;Cardiff
What is the basic unit of currency for Australia ?;Dollar
What unit of currency will buy you dinner in Iraq, Jordan, Tunisia, and Yugoslavia?;Dinar
What is the capital of Brazil?;Brasilia
What is the second largest state in the USA?;Texas
What is the capital of The Netherlands ?;Amsterdam
What seaport's name is spanish for 'white house'?;Casablanca
In which continent would you find the Lena river ?;Asia
In which continent would you find the Amazon river ?;South America
What is the basic unit of currency for Jordan ?;Dinar
What is the basic unit of currency for Lithuania ?;Litas
Accra is the capital of ______?;Ghana
What is the capital of Wisconsin?;Madison
Which country hosted the 1982 World Cup of soccer?;Spain
Into what bay does the Ganges River flow?;Bay Of Bengal
Which city is home to the 4th largest pyramid in the world?;Las Vegas
What is the basic unit of currency for Azerbaijan ?;Manat
What is the capital of Honduras ?;Tegucigalpa
In which continent would you find the Mississippi river ?;North America
In which state is Mount Vernon?;Virginia
Which country has a flag of a red circle on a white background ?;Japan
What is the basic unit of currency for Tanzania ?;Shilling
What is the capital of Guam?;Agana
What is the capital of Greece ?;Athens
What is the basic unit of currency for Dominica ?;Dollar
Which bridge spans the Hudson River?;George Washington Bridge
In which state are Gettysburg and the Liberty Bell?;Pennsylvania
What is the capital of Croatia ?;Zagreb
On which coast of Australia is Sydney?;East
This is the only borough of New York City that is not on an island.;The Bronx
New Delhi is the capital of ______?;India
What is the capital of Colorado?;Denver
What place is known as 'the land nowhere near'?;Cape Three Points
What is the capital of Somalia ?;Mogadishu
What canal connects Lake Ontario and Lake Erie?;Welland
Which U.S. state receives the most rainfall?;Hawaii
What is the capital of Slovenia ?;Ljubljana
What is the capital of Florida?;Tallahassee
Name the capital city of Utah.;Salt Lake City
What is the basic unit of currency for Burkina Faso ?;Franc
Name a country which has the same name as a bird.;Turkey
What city is associated with Alcatraz?;San Francisco
What is the basic unit of currency for Belarus ?;Rubel
What is the basic unit of currency for Uruguay ?;Peso
What is the capital of Mauritius ?;Port Louis
What is the basic unit of currency for India ?;Rupee
What was the former name of Thailand?;Siam
What country is Phnom Penh the capital of?;Cambodia
What is the basic unit of currency for Hungary ?;Forint
What is the basic unit of currency for Austria ?;Schilling
What is the capital of Wyoming?;Cheyenne
What is the basic unit of currency for Kuwait ?;Dinar
What American state has a Thames river?;Connecticut
What is the capital of Turkey ?;Ankara
What is the capital of Malawi ?;Lilongwe
Which sea is located between Australia and New Zealand?;Tasman
Acadia was the original name of which Canadian province?;Nova Scotia
Into which estuary do the Trent and Ouse flow?;Humber
What is the highest peak in Fiji?;Mount Victoria
What is the basic unit of currency for Cambodia ?;Riel
Through which ocean does the International Date Line approximately follow the 180 degree meridian?;Pacific Ocean
What is the capital of Singapore?;Singapore
The sun sets in the ____?;West
What is the highest mountain in the world?;Mount Everest
In which city is the famous Bond Street?;London
What is the basic unit of currency for Vatican City ?;Lira
What is the capital of Guatemala?;Guatemala
"The ""Old City"" of this holy location is divided into four quarters — a Christian quarter, a Muslim Quarter, a Jewish Quarter, and an Armenian Quarter.";Jerusalem
What is the name for the deepest part of the ocean ?;Abyss
Where is Tabasco?;Mexico
In what country is the Mekong River Delta?;Vietnam
What is the basic unit of currency for Cyprus ?;Pound
What is the capital of Mauritius?;Port Louis
What is the capital of Comoros ?;Moroni
Havana is the capital of which country?;Cuba
What state is the Golden State?;California
Which Californian desert drops below sea level?;Death Valley
What is the basic unit of currency for Finland ?;Markka
In which country is K2, the second-highest mountain in the world, located?;Pakistan
What is the capital of Armenia ?;Yerevan
What is the basic unit of currency for Honduras ?;Lempira
In which country is the Machu Picchu?;Peru
In which city is the Wailing Wall?;Jerusalem
Columbus is the capital of ______?;Ohio
Bismarck is the capital of ______?;North Dakota
What is the capital of Michigan?;Lansing
In which county are all ten of England's highest peaks?;Cumbria
What is the second highest peak in Africa?;Mt. Kenya
This coutry holds the distinction of being the least densely populated in the world.;Mongolia
On what island is Pearl Harbor?;Oahu
What is the capital of Tennessee?;Nashville
What is the capital of Antigua and Barbuda ?;Saint John's
In which continent would you find the Niger river ?;Africa
Which is the Earth's largest continent ?;Asia
Jakarta is located on which Indonesian island?;Java
Which element makes up 2.6% of the Earth's crust ?;Magnesium
Kathmandu is the capital of ______?;Nepal
What is the basic unit of currency for Philippines ?;Peso
What is the capital of Equatorial Guinea ?;Malabo
In which state are the Everglades ?;Florida
What 2 countries have square flags?;Switzerland and the Vatican
What is the capital of Mongolia?;Ulan Bator
Which US state gets the most rainfall?;Hawaii
What was the hightest mountain in the world before the discovery of everest?;Mount Everest
What is the capital of Belgium ?;Brussels
What tunnel connects France and Italy ?;Mont Blanc Tunnel
In what country do people speak the Language they call Nihongo?;Japan
What is the capital of Central African Republic ?;Bangui
Where is Queen Maud Land located?;Antarctica
What is the capital of Alaska?;Juneau
Alba is the Celtic name for what country?;Scotland
Approximately what percentage of the earth do the oceans cover?;71
In what country is Mandalay?;Myanmar (formerly known as Burma)
Which European country has the highest population density?;Monaco
What is the capital of Macedonia ?;Skopje
What country is Mt Etna in?;Italy
What is the capital of Andorra ?;Andorra la Vella
What is the capital of Idaho?;Boise
What is the longest river in Australia?;Darling
On what sea is the Crimea?;Black Sea
What is the capital of Niger ?;Niamey
In what city is the Smithsonian Institute?;Washington
What is the capital of Ukraine ?;Kiev
What is the smallest Canadian province?;Prince Edward Island
Which is the most populated state/territory in Australia?;New South Wales
In which city is the Sistine Chapel ?;Vatican City
This country is divided into two parts: Sabah and Sarawak on the island of Borneo, and a peninsula north of Singapore.;Malaysia
As what is Constantinople now known?;Istanbul
Name the longest river in Nigeria.;Niger
Where is the land of 10,000 lakes?;Minnesota
What is the capital of Nicaragua?;Managua
What lake is approximately 394,000 sq. km in area?;Caspian Sea
On the banks of which river is the Taj Mahal?;River Jumna
In which continent would you find the Nile river ?;Africa
What is the capital of West Virginia?;Charleston
What is the capital of Zambia ?;Lusaka
What is the largest island in the Caribbean?;Cuba
What is the capital of Canada ?;Ottawa
What country has the highest per capita tea consumption?;Ireland
What is the basic unit of currency for Bhutan ?;Ngultrum
What is the capital of Madagascar ?;Antananarivo
What is the basic unit of currency for Libya ?;Dinar
On what island is Pearl Harbour?;Oahu
What is the basic unit of currency for Argentina ?;Peso
What is the capital of Albania?;Tirana
As what is Formosa now known?;Taiwan
In which state are the Finger Lakes?;New York
What is the capital of Czech Republic ?;Prague
What is the capital of Missouri?;Jefferson City
What is the capital of Indonesia?;Jakarta
What is the capital of Burma?;Rangoon
What is the capital of Senegal?;Dakar
Where are the two steepest streets in the USA?;San Francisco
What is the basic unit of currency for Japan ?;Yen
What is the capital of Texas?;Austin
What country is directly west of Spain?;Portugal
What is the basic unit of currency for Ukraine ?;Hryvnia
"What city was the setting for ""Gone With the Wind""?";Atlanta
What is the basic unit of currency for Fiji ?;Dollar
Lilongwe is the capital of ______?;Malawi
What is the capital of Nicaragua ?;Managua
As what was the Taj Mahal originally built?;Tomb
As what is the South Pole also known?;Amundsen Scott Station
Five US states border which ocean?;Pacific Ocean
What is the capital of Syria ?;Damascus
What is the official language of Egypt?;Arabic
What is the largest city in Australia, in terms of population?;Sydney
Riyadh is the capital of ______?;Saudi Arabia
What country has the oldest constitution that still exists?;America
What is the smallest independent state in the world?;Vatican City
What is the capital of Honduras?;Tegucigalpa
What U.S. city is known as Insurance City?;Hartford
What is the second largest ocean?;Atlantic Ocean
In which city is the Arch of Hadrian?;Athens
Where is area 51 generally said to be?;Groom Lake
What is the basic unit of currency for Tonga ?;Pa'anga
What river has the largest drainage basin?;Amazon
The Little Mermaid is found in the harbour of which city?;Copenhagen
What is the capital of Australia ?;Canberra
Bangkok is the capital of ______?;Thailand
Name the largest city in Canada.;Toronto
What is the capital city of New Zealand?;Wellington
What is the basic unit of currency for Guinea-Bissau ?;Franc
Who is regarded as the most influential monarch of Russian Romanov Dynasty?;Peter I
Which state is the Evergreen State?;Washington
What is the capital of Croatia?;Zagreb
How many Great Lakes are there?;Five
What is the basic unit of currency for El Salvador ?;Colon
Vaduz is the capital of ______?;Liechtenstein
What is the basic unit of currency for Malta ?;Lira
What is the capital of Seychelles ?;Victoria
What is the capital of El Salvador ?;San Salvador
In which state is the Painted Desert?;Arizona
What continent is Cyprus considered to be part of?;Asia
Bissau is the capital of ______?;Guinea-Bissau
Into what ocean does the Zambezi River empty?;Indian Ocean
What is the capital of Vanuatu ?;Port-Vila
Who owns the island of Bermuda?;Britain
On which river is Rome located?;Tiber
What are the worlds four oceans - alphabetically?;Arctic, Atlantic, Indian and Pacific
What is the capital of Zimbabwe?;Harare
What is the highest mountain in Europe?;Mont Blanc
The longest river in Western Europe is _________?;Rhine
What US Citys name means 'straits' or 'channel'?;Detroit
What is the basic unit of currency for Poland ?;Zloty
