With which singer did Westlife record a version of Against all Odds in 2000?;Mariah Carey
Who Starred As Cole Porter In The 1945 Film Night & Day;Cary Grant
What was finally a top ten hit for Ce Ce Peniston on its 1992 Re-Release;Finally
Johnny Marr Teamed Up With Which Former New Order Member To Form The Band Electronic;Bernard Sumner
What Group Did Nick Cave Sing With Before Forming The Bad Seeds;The Birthday Party
Which Music Festival Was Attended By Over 400,000 People In 1969;Woodstock
"Who Claimed That ""Mama Gave Birth To The Soul Children""";Queen Latifah
What group was Ringo with before the Beatles?;Rory Storm and the Hurricanes
"Who Had Minor Hits With ""Dogs Of Lust"", ""Slow Emotion Replay"" And ""Dis -Infected"" EP";The The
In which film did Donna Summer make her debut as an aspiring disco singer?;Thank God It's Friday
Which duo released albums called Introspective and Very?;Pet Shop Boys
"Paul wrote ""Martha My Dear"". Who did he know who was named Martha?";His Dog
Who filled in for Ringo on the Beatles' 1964 world tour?;Jimmy Nicol
Which Band From Manchester Incluides The Former Entertainments Manager From The Hacienda (Nightclub);M People
What Name Appears In The Title Of Both A Beatles Hit And A Novel By ThomasHardy?;Jude
Which Group Comprises Of Colin Angus And Mr C;The Shamen
"Which Of These People Is The Shortest ""Jarvis Cocker, Micheal Stipe Or Nicky Wire""";Michael Stipe
"Who Sang The Smokin Dance Hit ""Feel It"" Including The Featured Artist";Tamperer Feat Maya (Pepper)
Who Were The Original Members Of Suede;Brett Anderson, Bernard Butler, Mat Osman, Simon Gilbert, And Justine Frischmann
Which Musical Was Based On H G Wells Novel Kipp's;Half A Sixpence
Which Guitar Manufacturer Was Responsible For The Stratocaster;Fender
Which Duo Wrote The Song “You'll Never Walk Alone”?;Rogers & Hammerstein
Which Year Did Bryan Adams Refer To In 1985;1969 (Summer Of 69)
"""Radio Gaga"" Was A 1984 Hit For Whom";Queen
Name The Hit Making 3 Tenors;Jose Carreras, Placido Domingo, Luciano Pavarotti
"In Which Year Did ""Wooden Heart"" & ""Surrender"" Reach No.1 For Elvis";1961
For Whom Did David Byrne Produce An Album Called Mesopotamia In 1981;B52's
"Who Recorded The Albums ""Cuts Both Ways"", & ""Into The Light""";Gloria Estefan
"""Dancing With Tears In My Eyes"" Was A 1984 Hit For Which Group?";Ultravox
Who Took A Eurovision Song Contest Entry To No.2 In 1969 And What Was It;Lulu / Boom Bang A Bang
"When The Motels Took The ""L"" Out Of Lover It Was What";Over
What band did James Brown tour and record with in the 1950's?;The Famous Flames
"Where was ""Can't Buy Me Love"" recorded?";Paris, France
Which Band Performed The Theme To The Secret Diary Of Adrian Mole Aged 13 & 3 Quarters;Ian Dury & The Blockheads
Susanne & Joanne Catherall Sang With Which Band;The Human League
"Who Had A Hit In 1993 With ""She Don't Let Nobody""";Chaka Demus & Pliers
